"id","nom_groupe","tags","localisation","localisation_type","begin_date_year","type"
129092,Denez Prigent,"compositeur, singer-songwriter, singer, composer, lyricist, kan ha diskan, gwerz, breton, contemporary folk, parolier, chanteur",Santec,3,1966,1
129187,NoJazz,"french, france",Paris,3,2001,2
129313,Pascal Obispo,"pop, french, todo-works, singer-songwriter",Bergerac,3,1965,1
129569,Jean-Marie Bigard,"french, humorist",Charmont-sous-Barbuise,3,1954,1
129782,Les Ogres de Barback,chanson française,Île-de-France,2,1994,2
129988,Art Mengo,french,Toulouse,3,1962,1
130151,Clara Ponty,"jazz, classical, contemporary classical",Paris,3,,1
130800,aspo,"french, ska",Bordeaux,3,1997,2
131342,Ray Lema,jazz,Lufu-Toto,3,1946,1
133075,E-Force,"metal, thrash metal",Montréal,3,2001,2
133480,Thierry Amiel,"nouvelle star, chanson française",Marseille,3,1982,1
134370,Cedric Gervais,"trance, electro, electro house, edm, big room house, big room trance, house, progressive trance, dance-pop",Marseille,3,1979,1
134509,Dee Nasty,"funk, hip hop, electro, french, jazz",Paris,3,1961,1
134539,Gold,pop,Toulouse,3,1982,2
134549,Cali,"chanteur, pop, guitarist, french, france, francophone, français, singer, producer, composer, lyricist, arranger, parolier, guitariste, compositeur, producteur, arrangeur, harmonicist, harmoniciste",Perpignan,3,1968,1
135417,Colleen,"french, classic pop and rock, ambient",Paris,3,1976,1
135444,Richard Dubugnon,"classical, swiss composer, composer",Lausanne,3,1968,1
136245,Faf Larage,hip hop,Marseille,3,1971,1
137447,Métal Urbain,"punk, paris, punk rock, france, electropunk",Paris,3,1976,2
137858,Lino,hip hop,Brazzaville,2,1974,1
137999,Michel Portal,"jazz, avant-garde, classical",Bayonne,3,1935,1
138091,Agoria,"deep house, house, french, electronic, tech house, electro house",Valencin,3,1976,1
138967,Black Strobe,"electro french, electro, electroclash, french",Paris,3,1997,2
139247,Isabelle Mayereau,singer-songwriter,Bordeaux,3,1947,1
139250,Louis Chédid,"singer-songwriter, sound engineer, ingénieur du son, compositeur, parolier, lyricist, composer",Al Ismā‘īlīyah,2,1948,1
139295,Vincent Malone,"children, jazz",Paris,3,1958,1
139310,Happy Drivers,"punk, punk rock, rockabilly, psychobilly, alternative rock",Angers,3,1985,2
139706,Sylvain Chauveau,dance and electronica,Bayonne,3,1971,1
139724,Opera Multi Steel,"coldwave, darkwave, post-punk, new wave",Bourges,3,1983,2
139806,La Funk Mob,"electronica, trip hop",Paris,3,1991,2
140523,Magic Malik,"flûtiste, français, jazz, francophone, flutist, france, french, contemporary jazz",Abidjan,3,1969,1
140727,Banane Metalik,"psychobilly, punk, gore'n'roll",Rennes,3,1989,2
